#,team,gp,mpg,ppg,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,rpg,apg,spg,bpg,tov,pf
,,,,,,,,,,,,,,,,,,,,,
871,Espoirs Dijon,34,40.1,69.5,25.4,59.1,.431,5.9,19.3,.305,12.7,18.2,.698,8.1,18.4,26.5,13.5,11.6,1.4,15.2,17.4
872,Liga Sorocabana,28,40.0,69.5,24.7,60.5,.408,5.8,20.0,.287,14.4,20.4,.706,9.7,22.0,31.7,14.0,6.8,1.7,14.4,23.2
873,Aries Trikala BC,26,40.1,69.3,24.3,60.0,.405,6.7,20.7,.322,14.0,20.7,.680,7.7,21.4,29.2,13.4,7.2,2.5,12.8,20.3
874,Espoirs Le Mans,34,40.6,69.2,25.6,62.6,.408,6.9,22.1,.310,11.3,18.9,.595,11.3,24.1,35.4,14.5,8.0,2.4,19.4,19.8
875,BK Jekabpils,29,40.2,69.1,24.0,61.3,.391,8.2,25.9,.317,12.9,18.3,.706,10.5,22.9,33.4,15.4,5.9,1.3,13.7,21.8
876,Basketball Academie Limburg,32,40.8,69.1,25.3,63.8,.396,5.3,19.3,.272,13.3,19.6,.681,11.4,23.6,35.1,12.3,10.6,1.9,18.1,19.8
877,Aris Leeuwarden,35,40.1,69.1,25.6,61.6,.416,6.7,21.9,.305,11.1,15.2,.734,7.4,24.3,31.7,12.4,6.9,2.2,12.6,18.9
878,Espoirs Limoges,34,40.1,69.1,24.5,61.3,.400,7.7,24.4,.315,12.4,17.7,.698,12.0,24.5,36.5,15.3,9.6,1.8,19.8,18.8
879,Nizhny Novgorod-2,39,40.5,69.0,24.9,67.9,.367,6.5,21.7,.301,12.7,19.2,.660,12.0,22.7,34.7,13.5,11.3,2.1,21.2,22.8
880,KK Teodo Tivat,10,40.0,68.9,25.4,55.0,.462,6.5,23.4,.278,11.6,16.1,.720,6.9,24.6,31.5,16.0,5.8,1.3,16.0,20.1
881,Campo Mourao,28,40.3,68.8,24.8,61.0,.407,7.8,23.5,.331,11.5,16.7,.686,8.4,22.9,31.3,14.7,6.4,1.9,13.3,18.6
882,Ammerud Basket,29,39.7,68.7,26.4,65.4,.404,5.0,20.0,.252,10.9,16.6,.660,9.7,24.5,34.2,14.8,7.2,2.0,14.9,16.4
883,Azad University Tehran,12,40.8,68.5,24.8,62.2,.399,6.1,22.6,.269,12.8,20.0,.638,11.4,23.3,34.8,14.7,9.3,1.7,15.2,21.0
884,KK Spars U18,4,39.7,68.5,25.3,61.3,.412,5.3,20.5,.256,12.8,19.0,.671,9.8,26.3,36.0,13.5,6.8,2.5,17.3,17.0
885,Maroussi BC,29,40.1,67.7,23.7,63.1,.375,8.0,26.8,.300,12.2,19.3,.633,10.5,22.3,32.9,12.7,7.7,1.6,12.3,22.9
886,Bright Kings Den Helder,32,40.0,67.6,25.4,59.3,.428,6.7,18.8,.355,10.1,13.3,.759,5.8,24.2,30.0,12.7,5.7,1.0,15.2,15.0
887,Espanol de Talca,3,40.0,67.3,24.0,62.0,.387,8.3,25.7,.325,11.0,18.7,.589,9.7,21.0,30.7,15.0,4.3,1.0,16.0,18.0
888,Llaneros Gaiteros,12,39.7,67.3,23.8,62.2,.382,6.7,21.0,.317,13.1,18.9,.692,8.0,24.2,32.2,14.0,5.4,1.8,20.0,19.8
889,Aris BC,40,40.1,67.1,23.9,58.9,.405,6.8,22.2,.305,12.6,18.1,.697,9.3,23.0,32.2,13.7,6.8,2.2,13.6,21.1
890,Ratiopharm U18,4,40.0,67.0,24.3,60.0,.404,6.8,22.3,.303,11.8,14.8,.797,6.8,25.5,32.3,17.0,8.8,2.3,17.5,16.8
891,RCOP-SDUSHOR,44,40.1,66.9,25.8,65.2,.396,3.2,12.9,.250,12.0,19.9,.605,10.8,25.9,36.7,14.9,9.9,3.3,23.4,21.2
892,Joinville,28,40.1,66.9,23.6,62.0,.381,8.1,27.0,.299,11.5,16.5,.701,7.2,21.1,28.3,12.5,8.6,1.7,12.6,18.0
893,Espoirs Antibes,34,39.4,66.7,23.6,59.6,.396,6.0,20.6,.290,13.4,19.6,.685,7.9,20.7,28.6,12.7,7.3,1.2,18.5,19.9
894,Correcaminos Colon,3,40.0,66.3,23.0,55.3,.416,5.7,18.0,.315,14.7,20.3,.721,8.0,22.7,30.7,10.0,4.7,0.7,15.7,24.0
895,GOCOR-Soj Gomel,50,40.0,65.8,23.4,62.7,.373,6.4,21.7,.294,12.7,20.4,.622,9.3,24.0,33.3,13.4,9.3,1.2,18.8,17.6
896,Better Academy Prague,4,40.0,65.8,24.8,63.3,.391,8.0,27.5,.291,8.3,13.3,.623,10.3,26.3,36.5,12.8,4.8,2.5,15.0,18.8
897,BC VEF Riga U18,4,40.0,65.8,24.3,71.3,.340,6.5,28.3,.230,10.8,16.8,.642,11.3,21.0,32.3,15.0,8.8,2.3,13.8,20.5
898,Mornar U19,4,40.0,65.8,25.8,64.8,.398,5.0,18.0,.278,9.3,18.3,.507,8.8,22.0,30.8,15.3,8.3,5.8,24.3,23.8
899,Espoirs Le Portel,34,40.1,65.7,24.2,60.3,.401,6.2,22.3,.279,11.1,16.1,.689,11.3,21.1,32.4,13.6,10.9,2.1,18.4,19.7
900,Espoirs Pau-Lacq-Orthez,34,39.9,65.3,25.0,60.6,.413,5.3,19.2,.275,10.0,16.8,.594,10.4,22.0,32.5,15.1,9.5,2.6,19.9,19.9
901,CS Dinamo Bucuresti,30,40.3,65.1,23.8,61.0,.390,6.5,21.7,.298,11.1,17.0,.654,7.9,19.6,27.5,12.6,6.2,1.3,18.4,19.6
902,Riviera Basket,27,39.9,65.1,24.6,59.2,.415,5.5,17.9,.308,10.4,16.3,.642,9.4,20.2,29.6,11.7,6.9,1.9,14.7,19.9
903,Hebraica Macabi,6,39.8,64.7,22.7,60.5,.375,7.7,26.8,.286,11.7,18.0,.648,7.7,28.5,36.2,13.3,6.2,1.8,17.2,19.7
904,Malvin,3,40.0,64.7,21.3,61.3,.348,8.3,27.3,.305,13.7,16.7,.820,7.3,27.0,34.3,15.3,7.7,2.7,17.0,15.7
905,Barsy Atyrau,12,40.4,63.8,23.2,59.2,.392,5.0,18.2,.275,12.4,17.6,.706,8.4,22.3,30.8,13.1,8.4,2.7,19.3,21.9
906,Fenerbahce Beko U18,4,40.0,63.0,22.5,56.5,.398,2.5,14.0,.179,15.5,23.8,.653,8.5,22.0,30.5,14.5,5.8,1.5,16.5,17.5
907,Niroo Zamini Army Tehran,11,40.0,62.8,22.6,59.6,.380,5.2,20.0,.259,12.4,17.9,.690,9.3,20.0,29.3,10.0,9.4,2.0,15.5,20.8
908,Shahrdary Gorgan,6,40.0,61.2,22.3,63.7,.351,4.7,18.5,.252,11.8,20.2,.587,12.8,21.5,34.3,13.0,12.2,2.0,17.0,17.7
909,Umana Reyer Venice U18,4,40.0,60.0,24.5,66.0,.371,4.3,19.3,.221,6.8,10.5,.643,7.5,21.5,29.0,10.3,9.0,2.3,13.3,17.5
910,Niroo Ahvaz,9,40.0,60.0,20.2,57.9,.349,5.9,22.4,.262,13.7,19.6,.699,8.8,21.7,30.4,12.4,8.3,1.7,18.9,20.2
911,Audentese SG/Noortekoondis,14,40.0,59.6,23.1,63.9,.362,5.1,18.9,.273,8.2,13.6,.605,8.9,19.6,28.4,11.5,7.0,1.2,20.4,18.5
912,Centre Federal Du Basket-Ball,41,39.9,58.7,22.2,60.6,.367,5.1,21.9,.235,9.1,13.4,.678,9.0,18.0,27.1,13.7,8.5,2.2,19.2,23.6
